Po Ps Type Gal ID
11.6 9475 Sg MW 1A0114+650
8.96 238 Sg MW VelaX-1|4U0900-40
14.4 297 Sg MW 1E1145.1-6141
41.5 680 Sg MW GX301-2
3.73 529 Sg MW 4U1538-522
-- -- Sg MW IGRJ16318-4848
8.99 1310 Sg MW IGRJ16320-4751
4.24 912 Sg MW IGRJ16393-4641
6.78 1093 Sg MW IGRJ16493-4348
10.4 38 Sg MW OAO1657-415
3.41 -- Sg MW 4U1700-37
9.74 414 Sg MW EXO1722-363
4.47 140 Sg MW IGRJ18027-2016
6.07 361 Sg MW XTEJ1855-026
8.38 439 Sg MW 4U1907+097
4.4 605 Sg MW 4U1909+07
13.6 -- Sg MW IGRJ19140+0951
-- -- SFXT MW IGRJ08408-4503
165 187 SFXT MW IGRJ11215-5952
16 -- SFXT MW IGRJ16195-4945
9.73 -- SFXT MW IGRJ16207-5129
10.1 -- SFXT MW IGRJ16328-4726
3.74 1212 SFXT MW IGRJ16418-4532
30.3 228 SFXT MW IGRJ16465-4507
3.32 -- SFXT MW IGRJ16479-4514
8.45 -- SFXT MW IGRJ17354-3255
51.5 -- SFXT MW XTEJ1739-302
4.93 -- SFXT MW IGRJ17544-2619
30.0 -- SFXT MW SAXJ1818.6-1703
54.0 153 SFXT MW AXJ1820.5-1434
6.45 -- SFXT MW AXJ1841.0-0536
5.7 -- SFXT MW AXJ1845.0-0433
-- 997 SFXT MW IGRJ18462-0223
18.5 21 SFXT MW IGRJ18483-0311
24.3 3.61 Be MW 4U0115+63
160 -- Be MW IGRJ01363+6610
-- 1400 Be MW RXJ0146.9+6121
-- 469 Be MW IGRJ01583+6713
34.7 4.38 Be MW V0332+53|EXO0331+530
250 835 Be MW 4U0352+309
155 202 Be MW RXJ0440.9+4431
111 103 Be MW A0535+262|1A0535+262
-- -- Be MW IGRJ06074+2205
101 161 Be MW 2E0655.8-0708
250 93.6 Be MW GROJ1008-57
-- 860 Be MW 3U1022-55
24 406 Be MW 1A1118-615
-- -- Be MW IGRJ11305-6256
52.5 162 Be MW IGRJ11435-6109
188 292 Be MW 4U1145-619
132 272 Be MW GX304-1
-- 700 Be MW 2RXPJ130159.6-635806
42.1 17.6 Be MW 4U1416-62
75.6 27.1 Be MW XTEJ1543-568
44.0 54 Be MW AXJ1700.2-4220
29.8 4.45 Be MW GROJ1750-27
-- 29.5 Be MW GS1843+00
241 94.8 Be MW A1845-024
380 221 Be MW XTEJ1858+034
22.6 2.76 Be MW 4U1901+03
117 12.4 Be MW IGRJ19294+1816
169 15.8 Be MW XTEJ1946+274
40.4 18.7 Be MW KS1947+300
46.0 42 Be MW EXO2030+375
12.7 359 Be MW SAXJ2103.5+4545
-- 46.7 Be MW IGRJ22534+6243
15.7 359 Giant MW IGRJ00370+6122
6.7 -- MS MW 1ES1210-646
-- -- MS MW IGRJ21343+4738
9.57 5559 MS MW 4U2206+543
2.09 4.82 RLOF MW CenX-3
26.5 -- GRloud MW LSI61+303
#1237 0.047 GRloud MW PSRB1259-63
3.91 -- GRloud MW LS5039
13.1 -- BH MW SS433
5.6 -- BH MW CygX-1
0.2 -- BH MW CygX-3
